KD_NO|GROUP|SEQ|TRC_RPT_RSN_CD
7303120|7303120|1|
8786381|||
17133511|||
84029797|||
113397364|||
150232324|||
163431992|||
189273658|||
197909852|||
208501867|||
234988651|7303120|2|4
240653653|||
245700779|||
268929356|||
274789894|||
279779783|||
341920012|||
364831726|||
400513476|||
405759241|||
421988361|||
448479867|||
453611137|||
513850176|||
538941659|||
568939028|||
580107926|||
614264379|||
635030100|||
667721361|||
800722314|||
871733883|||
981476544|||
992479438|||
1019604811|||
1035136236|||
1055150086|||
1057723248|||
3930135078|||
5785693959|||
8914048921|||
100716377774|||
102107240998|||
105066581839|||
106046374750|||
107621397742|||
